id,name,price,description,category,subCategory,colors,sizes,images,inStock,featured
gilet-1957,GILET 1957,480,"Veste en denim dotée de quatre poches plaquées plissées à rabat avec boutons-pression",homme,denim,#191970,"S,M,L,XL","/images/gilet-1957-face.jpg,/images/gilet-1957-droit.jpg,/images/gilet-1957-gauche.jpg,/images/gilet-1957-dos.jpg",FALSE,FALSE
jean-1957,BAGGY 1957,360,"Pantalon en denim avec coupe baggy confortable",homme,denim,#191970,"S,M,L,XL","/images/jean-1957-face.jpg,/images/jean-1957-droit.jpg,/images/jean-1957-gauche.jpg,/images/jean-1957-dos.jpg",FALSE,FALSE
pantalon-jane,PANTALON JANE,310,"Pantalon élégant et confortable pour toutes occasions",femme,bottoms,#000000,"XS,S,M,L","/images/pantalon-jane-face.jpg,/images/pantalon-jane-droit.jpg,/images/pantalon-jane-gauche.jpg,/images/pantalon-jane-dos.jpg",TRUE,FALSE
calecon-champion,CALEÇON CHAMPION,60,"Sous-vêtement confortable en coton de qualité",homme,underwear,#FFFFFF,"S,M,L,XL","/images/calecon-blanc-face.jpg,/images/calecon-blanc-droit.jpg,/images/calecon-blanc-gauche.jpg,/images/calecon-blanc-dos.jpg",TRUE,FALSE
bombers-itoua,BOMBERS ITOUA,380,"Veste bombers moderne et élégante",homme,outerwear,"#000000,#808080,#A0826D","S,M,L,XL","/images/bombers-noir-face.jpg,/images/bombers-noir-droit.jpg,/images/bombers-noir-gauche.jpg,/images/bombers-noir-dos.jpg",TRUE,TRUE
short-uriel,SHORT URIEL,150,"Short confortable pour l'été",homme,bottoms,"#DC2626,#22C55E","S,M,L,XL","/images/short-uriel-rouge-face.jpg,/images/short-uriel-rouge-droit.jpg,/images/short-uriel-rouge-gauche.jpg,/images/short-uriel-rouge-dos.jpg",TRUE,FALSE
asabili-sweatpants,BAS DE SURVÊTEMENT ASABILI,190,"Pantalon de jogging confortable et stylé",homme,bottoms,"#8B7355,#800020,#808080,#556B2F","S,M,L,XL,XXL","/images/sweatpant-beige-face.jpg,/images/sweatpant-beige-droit.jpg,/images/sweatpant-beige-gauche.jpg,/images/sweatpant-beige-dos.jpg",TRUE,TRUE
voile-de-corps,VOILE DE CORPS,230,"Haut élégant en voile léger",femme,tops,"#000000,#FF69B4,#800020,#8B4513","S,M,L","/images/voile-noir-1.jpg,/images/voile-noir-2.jpg,/images/voile-noir-3.jpg",TRUE,FALSE
chemise-uriel-ml,CHEMISE URIEL MANCHE LONGUE,210,"Chemise élégante à manches longues",homme,tops,"#808080,#22C55E,#DC2626","S,M,L,XL","/images/chemise-uriel-ml-face.jpg,/images/chemise-uriel-ml-droit.jpg,/images/chemise-uriel-ml-gauche.jpg,/images/chemise-uriel-ml-dos.jpg",TRUE,FALSE
chemise-uriel-mc,CHEMISE URIEL MANCHES COURTES,190,"Chemise légère à manches courtes",homme,tops,"#808080,#22C55E,#DC2626","S,M,L,XL","/images/chemise-uriel-gris-face.jpg,/images/chemise-uriel-gris-droit.jpg,/images/chemise-uriel-gris-gauche.jpg,/images/chemise-uriel-gris-dos.jpg",TRUE,FALSE
veste-jane,VESTE JANE,420,"Veste élégante en denim",femme,outerwear,#191970,"XS,S,M,L","/images/veste-jane-face.jpg,/images/veste-jane-droit.jpg,/images/veste-jane-gauche.jpg,/images/veste-jane-dos.jpg",TRUE,FALSE
jupe-bine,JUPE BINE,180,"Jupe moderne et confortable",femme,bottoms,#191970,"XS,S,M,L","/images/jupe-face.jpg,/images/jupe-droit.jpg,/images/jupe-gauche.jpg,/images/jupe-dos.jpg",TRUE,FALSE
surchemise-boubou,SURCHEMISE GRAND BOUBOU,340,"Surchemise ample et élégante",homme,outerwear,#F5E6A3,"S,M,L,XL","/images/surchemise-boubou-face.jpg,/images/surchemise-boubou-droit.jpg,/images/surchemise-boubou-gauche.jpg,/images/surchemise-boubou-dos.jpg",TRUE,FALSE
